"Probabilidad" "Replicas" "Max_Infectados" "Porcentaje"
"1" 0 1 0 0
"2" 0 2 29 72.5
"3" 0 3 1 2.5
"4" 0 4 29 72.5
"5" 0 5 29 72.5
"6" 0 6 20 50
"7" 0 7 1 2.5
"8" 0 8 29 72.5
"9" 0 9 35 87.5
"10" 0 10 22 55
"11" 0 11 25 62.5
"12" 0 12 23 57.5
"13" 0 13 34 85
"14" 0 14 23 57.5
"15" 0 15 29 72.5
"16" 0.1 1 22 55
"17" 0.1 2 22 55
"18" 0.1 3 23 57.5
"19" 0.1 4 26 65
"20" 0.1 5 25 62.5
"21" 0.1 6 2 5
"22" 0.1 7 27 67.5
"23" 0.1 8 1 2.5
"24" 0.1 9 25 62.5
"25" 0.1 10 1 2.5
"26" 0.1 11 25 62.5
"27" 0.1 12 22 55
"28" 0.1 13 24 60
"29" 0.1 14 27 67.5
"30" 0.1 15 21 52.5
"31" 0.2 1 22 55
"32" 0.2 2 0 0
"33" 0.2 3 22 55
"34" 0.2 4 22 55
"35" 0.2 5 23 57.5
"36" 0.2 6 19 47.5
"37" 0.2 7 20 50
"38" 0.2 8 23 57.5
"39" 0.2 9 20 50
"40" 0.2 10 22 55
"41" 0.2 11 0 0
"42" 0.2 12 18 45
"43" 0.2 13 22 55
"44" 0.2 14 0 0
"45" 0.2 15 16 40
"46" 0.3 1 21 52.5
"47" 0.3 2 0 0
"48" 0.3 3 13 32.5
"49" 0.3 4 14 35
"50" 0.3 5 16 40
"51" 0.3 6 0 0
"52" 0.3 7 16 40
"53" 0.3 8 12 30
"54" 0.3 9 16 40
"55" 0.3 10 12 30
"56" 0.3 11 0 0
"57" 0.3 12 2 5
"58" 0.3 13 0 0
"59" 0.3 14 18 45
"60" 0.3 15 10 25
"61" 0.4 1 17 42.5
"62" 0.4 2 0 0
"63" 0.4 3 11 27.5
"64" 0.4 4 19 47.5
"65" 0.4 5 0 0
"66" 0.4 6 15 37.5
"67" 0.4 7 1 2.5
"68" 0.4 8 0 0
"69" 0.4 9 1 2.5
"70" 0.4 10 8 20
"71" 0.4 11 10 25
"72" 0.4 12 12 30
"73" 0.4 13 8 20
"74" 0.4 14 9 22.5
"75" 0.4 15 0 0
"76" 0.5 1 19 47.5
"77" 0.5 2 0 0
"78" 0.5 3 10 25
"79" 0.5 4 13 32.5
"80" 0.5 5 0 0
"81" 0.5 6 6 15
"82" 0.5 7 10 25
"83" 0.5 8 9 22.5
"84" 0.5 9 0 0
"85" 0.5 10 0 0
"86" 0.5 11 0 0
"87" 0.5 12 0 0
"88" 0.5 13 14 35
"89" 0.5 14 0 0
"90" 0.5 15 13 32.5
"91" 0.6 1 2 5
"92" 0.6 2 0 0
"93" 0.6 3 0 0
"94" 0.6 4 0 0
"95" 0.6 5 0 0
"96" 0.6 6 0 0
"97" 0.6 7 7 17.5
"98" 0.6 8 13 32.5
"99" 0.6 9 1 2.5
"100" 0.6 10 11 27.5
"101" 0.6 11 1 2.5
"102" 0.6 12 0 0
"103" 0.6 13 0 0
"104" 0.6 14 6 15
"105" 0.6 15 0 0
"106" 0.7 1 5 12.5
"107" 0.7 2 0 0
"108" 0.7 3 1 2.5
"109" 0.7 4 0 0
"110" 0.7 5 1 2.5
"111" 0.7 6 0 0
"112" 0.7 7 3 7.5
"113" 0.7 8 9 22.5
"114" 0.7 9 9 22.5
"115" 0.7 10 0 0
"116" 0.7 11 1 2.5
"117" 0.7 12 0 0
"118" 0.7 13 4 10
"119" 0.7 14 5 12.5
"120" 0.7 15 4 10
"121" 0.8 1 0 0
"122" 0.8 2 0 0
"123" 0.8 3 0 0
"124" 0.8 4 2 5
"125" 0.8 5 0 0
"126" 0.8 6 0 0
"127" 0.8 7 1 2.5
"128" 0.8 8 2 5
"129" 0.8 9 3 7.5
"130" 0.8 10 5 12.5
"131" 0.8 11 0 0
"132" 0.8 12 0 0
"133" 0.8 13 4 10
"134" 0.8 14 0 0
"135" 0.8 15 2 5
"136" 0.9 1 0 0
"137" 0.9 2 0 0
"138" 0.9 3 0 0
"139" 0.9 4 0 0
"140" 0.9 5 0 0
"141" 0.9 6 0 0
"142" 0.9 7 0 0
"143" 0.9 8 1 2.5
"144" 0.9 9 0 0
"145" 0.9 10 0 0
"146" 0.9 11 0 0
"147" 0.9 12 0 0
"148" 0.9 13 4 10
"149" 0.9 14 0 0
"150" 0.9 15 0 0
"151" 1 1 0 0
"152" 1 2 0 0
"153" 1 3 0 0
"154" 1 4 0 0
"155" 1 5 0 0
"156" 1 6 0 0
"157" 1 7 0 0
"158" 1 8 0 0
"159" 1 9 0 0
"160" 1 10 0 0
"161" 1 11 0 0
"162" 1 12 0 0
"163" 1 13 0 0
"164" 1 14 0 0
"165" 1 15 0 0
